# 1: VFTS Identifier
# 2: Spectral type
# 3: log(L/Lsun)	4: d+log(L/Lsun)	5: d-log(L/Lsun)	6: CI/\%
# 7: Teff/K	8: d+Teff/K	9: d-Teff/K	10: CI/\%
# 11: log(g/cgs)	12: d+log(g/cgs)	13: d-log(g/cgs)	14: CI/\%
# 15: vsini/km/s	16: d+vsini/km/s	17: d-vsini/km/s	18: CI/\%
# 19: Y	20: d+Y	21: d-Y	22: CI/\%
# 23: Reference
# 24: Mini/Msun	25: d+Mini/Msun	26: d-Mini/Msun	27: CI/\%
# 28: vini/km/s	29: d+vini/km/s	30: d-vini/km/s	31: CI/\%
# 32: Age/Myr	33: d+Age/Myr	34: d-Age/Myr	35: CI/\%
# 36: Mpresent/Msun	37: d+Mpresent/Msun	38: d-Mpresent/Msun	39: CI/\%
# 40: R/Rsun	41: d+R/Rsun	42: d-R/Rsun	43: CI/\%
054	B0 V	3.98	0.30	0.30	68.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	(6)	7.6	2.0	1.4	68.3	310	142	158	68.6	16.5-41.8	-	-	100.0	7.6	2.0	1.4	68.3	9.6	2.4	1.2	68.3
057	Mid-late K	3.16	0.20	0.20	68.3	4100.00	150.00	150.00	68.3	-	-	-	-	-	-	-	-	-	-	-	-	(7)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
060	B1.5 II-Ib((n))	4.82	0.20	0.20	68.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	(5)	15.4	3.1	2.5	68.3	310	141	159	68.8	7.9-12.9	-	-	100.0	15.2	3.0	2.4	68.3	18.3	4.5	5.0	68.3
062	B3 III	3.74	0.24	0.24	68.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	(6)	6.6	1.3	0.9	68.3	310	142	158	68.5	25.8-54.1	-	-	100.0	6.6	1.3	0.9	68.3	8.9	1.6	1.0	68.3
065	O8 V(n)	4.80	0.15	0.15	68.3	37050.00	1080.00	1080.00	68.3	4.08	0.16	0.16	68.3	165.00	30.00	30.00	68.3	-	-	-	-	(3,4)	22.4	1.9	1.6	68.3	170	49	46	68.3	2.4	0.9	1.4	68.4	22.4	1.8	1.6	68.3	6.2	0.9	0.5	68.3
067	O9.5 Vz	4.56	0.17	0.17	68.3	35200.00	1100.00	1100.00	68.3	4.12	0.19	0.19	68.3	40.00	30.00	30.00	68.3	-	-	-	-	(3,4)	18.8	1.5	1.3	68.3	70	38	38	68.3	2.1	1.3	1.6	68.3	18.8	1.5	1.3	68.3	5.5	0.7	0.5	68.3
069	B0.7 Ib-Iab	5.59	0.10	0.10	68.3	23500.00	1000.00	1000.00	68.3	2.75	0.20	0.20	68.3	<55	-	-	100.0	-	-	-	-	(5)	35.0	4.2	4.3	68.3	60	19	55	68.3	4.8	0.3	0.7	68.3	32.8	4.1	3.4	68.3	39.9	4.0	7.2	68.3
070	O9.7 II	4.47	0.10	0.10	68.3	32150.00	1120.00	1670.00	68.3	4.23	0.15	0.13	68.3	126.00	30.00	30.00	68.3	-	-	-	-	(1)	15.8	1.1	1.0	68.3	130	47	39	68.3	3.2	1.6	2.0	68.4	15.8	1.1	1.0	68.3	5.2	0.5	0.4	68.3
071	B1: V	4.08	0.10	0.10	68.3	27000.00	1000.00	1000.00	68.3	4.20	0.10	0.10	68.3	343.00	30.00	30.00	68.3	-	-	-	-	(6)	11.6	0.8	0.6	68.3	330	60	21	68.3	5.2	2.3	2.8	68.3	11.6	0.8	0.6	68.3	4.6	0.4	0.4	68.4
072	O2 V-III(n)((f*))	6.07	0.13	0.13	68.3	54000.00	1500.00	1500.00	68.3	4.02	0.10	0.10	68.3	185.00	30.00	30.00	68.3	-	-	-	-	(3,4)	101.0	19.3	22.0	68.3	190	276	43	88.1	0.4	0.8	0.4	68.3	97.6	22.2	23.1	68.4	13.9	2.1	1.5	68.3
